"city_id","city","country_id","district","postal_code"
120,"Citrus Heights",103,"California","16266"
128,"Crdoba",6,"Crdoba","99865"
121,"Citt del Vaticano",41,"","58327"
115,"Chisinau",61,"Chisinau","34689"
105,"Cayenne",35,"Cayenne","71110"
114,"Chiayi",92,"Chiayi","60951"
108,"Changhwa",92,"Changhwa","72394"
113,"Cheju",86,"Cheju","82624"
102,"Caracas",104,"Distrito Federal","75834"
132,"Cuman",104,"Sucre","10885"
123,"Clarksville",103,"Tennessee","13377"
107,"Chandrapur",44,"Maharashtra","62686"
126,"Compton",103,"California","8862"
109,"Changzhou",23,"Jiangsu","89459"
122,"Ciudad del Este",73,"Alto Paran","86599"
118,"Ciomas",45,"West Java","22236"
124,"Coacalco de Berriozbal",60,"Mxico","75933"
99,"Callao",74,"Callao","79047"
130,"Cuautla",60,"Morelos","54949"
119,"Ciparay",45,"West Java","59550"
98,"Cabuyao",75,"Southern Tagalog","57810"
104,"Cavite",75,"Southern Tagalog","21615"
111,"Charlotte Amalie",106,"St Thomas","54749"
117,"Cianjur",45,"West Java","70809"
129,"Cuauhtmoc",60,"Chihuahua","41545"
125,"Coatzacoalcos",60,"Veracruz","71182"
110,"Chapra",44,"Bihar","51369"
127,"Coquimbo",22,"Coquimbo","92568"
116,"Chungho",92,"Taipei","400"
101,"Cape Coral",103,"Florida","31342"
100,"Cam Ranh",105,"Khanh Hoa","79401"
112,"Chatsworth",85,"KwaZulu-Natal","63022"
133,"Czestochowa",76,"Slaskie","86587"
131,"Cuernavaca",60,"Morelos","89422"
103,"Carmen",60,"Campeche","53829"
106,"Celaya",60,"Guanajuato","71102"
