"city_id","last_update","city","rank"
63,"2006-02-15 09:45:25","Bchar","1"
59,"2006-02-15 09:45:25","Batna","1"
67,"2006-02-15 09:45:25","Benguela","3"
45,"2006-02-15 09:45:25","Baha Blanca","4"
48,"2006-02-15 09:45:25","Baku","5"
84,"2006-02-15 09:45:25","Boa Vista","6"
89,"2006-02-15 09:45:25","Braslia","6"
83,"2006-02-15 09:45:25","Blumenau","6"
44,"2006-02-15 09:45:25","Bag","6"
66,"2006-02-15 09:45:25","Belm","6"
53,"2006-02-15 09:45:25","Bandar Seri Begawan","11"
60,"2006-02-15 09:45:25","Battambang","12"
52,"2006-02-15 09:45:25","Bamenda","13"
80,"2006-02-15 09:45:25","Binzhou","14"
47,"2006-02-15 09:45:25","Baiyin","14"
46,"2006-02-15 09:45:25","Baicheng","14"
96,"2006-02-15 09:45:25","Buenaventura","17"
79,"2006-02-15 09:45:25","Bilbays","18"
92,"2006-02-15 09:45:25","Brest","19"
54,"2006-02-15 09:45:25","Banjul","20"
78,"2006-02-15 09:45:25","Bijapur","21"
76,"2006-02-15 09:45:25","Bhopal","21"
75,"2006-02-15 09:45:25","Bhimavaram","21"
73,"2006-02-15 09:45:25","Bhavnagar","21"
74,"2006-02-15 09:45:25","Bhilwara","21"
77,"2006-02-15 09:45:25","Bhusawal","21"
71,"2006-02-15 09:45:25","Berhampore (Baharampur)","21"
51,"2006-02-15 09:45:25","Balurghat","21"
57,"2006-02-15 09:45:25","Bat Yam","29"
93,"2006-02-15 09:45:25","Brindisi","30"
70,"2006-02-15 09:45:25","Bergamo","30"
91,"2006-02-15 09:45:25","Brescia","30"
68,"2006-02-15 09:45:25","Beni-Mellal","33"
64,"2006-02-15 09:45:25","Beira","34"
81,"2006-02-15 09:45:25","Birgunj","35"
69,"2006-02-15 09:45:25","Benin City","36"
61,"2006-02-15 09:45:25","Baybay","37"
62,"2006-02-15 09:45:25","Bayugan","37"
82,"2006-02-15 09:45:25","Bislig","37"
97,"2006-02-15 09:45:25","Bydgoszcz","40"
95,"2006-02-15 09:45:25","Bucuresti","41"
86,"2006-02-15 09:45:25","Botosani","41"
49,"2006-02-15 09:45:25","Balaiha","43"
90,"2006-02-15 09:45:25","Bratislava","44"
87,"2006-02-15 09:45:25","Botshabelo","45"
85,"2006-02-15 09:45:25","Boksburg","45"
56,"2006-02-15 09:45:25","Basel","47"
72,"2006-02-15 09:45:25","Bern","47"
50,"2006-02-15 09:45:25","Balikesir","49"
58,"2006-02-15 09:45:25","Batman","49"
88,"2006-02-15 09:45:25","Bradford","51"
65,"2006-02-15 09:45:25","Bellevue","52"
94,"2006-02-15 09:45:25","Brockton","52"
55,"2006-02-15 09:45:25","Barcelona","54"
